Unnamed: 0_wildfire,id,fire_number,year,discovered_date,date_wildfire,detection_agent_type,smoke_type,smoke_color,smoke_base_size,condition_of_smoke,latitude_wildfire,longitude_wildfire,dispatch_date,dispatched_resource,ia_getaway_time,assessment_datetime,assessment_size,assessment_result,assessment_resource,fire_spread_rate,fire_type,fuel_type,fire_position_on_slope,comments,general_cause,eco_zone_flag,wui_indicator,temperature,relative_humidity_wildfire,wind_direction,wind_speed,weather_conditions_over_fire,initial_action_by,ia_arrival_at_fire_date,ia_access,air_ff_start_date,air_ff_start_size,ground_ff_start_date,ground_ff_start_size,bucketing_on_fire,distance_from_water_source,first_bucket_drop_date,first_bh_date,first_bh_size,first_uc_date,first_uc_size,first_to_date,first_to_size,first_ex_date,first_ex_size_perimeter,current_size,size_class,ia_getaway_obj,ia_start_size_obj,first_burn_period_obj,contained_size_obj,geometry,FA_NAME,forest_area,hour_of_day,date_day,Unnamed: 0_weather,station_id,date_weather,update_timestamp,dry_bulb_temperature,dew_point,relative_humidity_weather,rain_mm,snow_cm,hail_mm,precipitation_mm,wind_speed_kmh,wind_gust_kmh,wind_azimuth,ffmc,dmc,dc,isi,bui,fwi,dsr,latitude_weather,longitude_weather
101,673,S03012,1996,7/9/1996 19:05,1996-07-09 19:16:00,LKT,S,LG,S,,51.7548,-115.1876,7/9/1996 19:16,HAC,30  minutes,7/9/1996 19:30,0.01,,,0.0,Surface,C3,Bottom,,Lightning,,N,,,S,5.0,CB Wet,HAC1H,,,,,,,,,,7/10/1996 11:24,0.01,7/10/1996 11:24,0.01,,,7/10/1996 19:09,0.01,0.01,A,N,?,N,Y,POINT (487056.0991692413 5731489.159876697),Rocky Mountain House Forest Area,Rocky Mountain House,19.26666667,1996-07-09,146780,BH,1996-07-09,,20.0,5.3,38.09,0.0,0.0,0.0,0.0,7.0,,360,88.4,21.1,137.9,4.8,30.5,9.8,1.54,51.71,-115.22
103,676,N02005,1996,7/9/1996 16:45,1996-07-09 16:50:00,LKT,LC,LG,S,,53.0339,-116.6543,7/9/1996 16:50,Forest Officer,30  minutes,7/9/1996 19:30,0.01,,,0.0,Crown,M2,Lower 1/3,,Lightning,,N,,,W,12.0,Rainshowers,Forest Officer,,,,,,,,,,7/9/1996 18:55,0.01,7/9/1996 18:55,0.01,,,7/9/1996 19:30,0.01,0.01,A,Y,Y,Y,Y,POINT (389114.9334270109 5874969.448857125),Edson Forest Area,Edson,16.83333333,1996-07-09,873493,LO,1996-07-09,,20.0,9.9,52.16,0.01,0.0,0.0,0.01,3.0,,315,86.1,17.6,136.2,2.8,26.6,5.6,0.57,53.03,-116.66
105,406,W05010,1996,6/8/1996 16:30,1996-06-08 16:46:00,LKT,S,LG,S,,57.2392,-114.617,6/8/1996 16:46,RAP,60  minutes,6/8/1996 17:50,2.0,,,1.0,Crown,S2,Bottom,,Lightning,,N,,,W,15.0,Clear,HAC1R,,,,,,,,,,6/9/1996 11:57,4.0,6/10/1996 10:22,5.0,,,6/12/1996 9:00,5.0,5.0,C,N,?,N,Y,POINT (523107.6363372948 6341539.387116276),Slave Lake Forest Area,Slave Lake,16.76666667,1996-06-08,1034116,PA,1996-06-08,,19.5,0.3,27.47,0.0,0.0,0.0,0.0,31.0,55.0,90,88.5,14.6,80.5,16.4,20.1,20.4,5.65,57.18,-114.61
120,718,W05016,1996,7/15/1996 13:07,1996-07-15 13:07:00,LKT,S,LG,N,,55.4484,-114.8182,7/15/1996 13:07,HAC,30  minutes,7/15/1996 15:30,0.01,,,0.0,Surface,M2,Middle 1/3,,Lightning,,N,,,SW,5.0,Clear,HAC1H,,,,,,,,,,7/15/1996 16:15,0.01,7/15/1996 16:15,0.01,,,7/15/1996 18:52,0.1,0.1,A,Y,?,Y,Y,POINT (511494.8193158655 6142246.932137198),Slave Lake Forest Area,Slave Lake,13.11666667,1996-07-15,936715,MR,1996-07-15,,12.0,10.3,89.33,8.8,0.0,0.0,8.8,16.0,,90,36.3,4.2,38.3,0.0,6.6,0.0,0.0,55.47,-114.79
145,788,W01008,1996,7/30/1996 17:50,1996-07-30 17:54:00,LKT,LC,LG,S,,54.8232,-118.9429,7/30/1996 17:54,HAC,30  minutes,7/30/1996 18:50,0.01,,,,Surface,M2,Upper 1/3,,Lightning,,N,,,SW,20.0,Rainshowers,HAC1H,,,,,,,,,,7/30/1996 19:00,0.01,7/30/1996 19:00,0.01,,,7/30/1996 20:00,0.01,0.01,A,Y,?,Y,Y,POINT (246839.203455512 6079811.298072308),Grande Prairie Forest Area,Grande Prairie,17.9,1996-07-30,122682,BD,1996-07-30,,22.0,14.2,61.24,6.0,0.0,0.0,6.0,4.0,,135,59.8,13.1,137.7,0.5,21.2,0.5,0.01,54.81,-118.92
148,800,E03008,1996,8/1/1996 20:36,1996-08-01 20:36:00,UNP,,,,,55.2736,-113.1213,8/1/1996 20:36,HAC,30  minutes,8/1/1996 20:36,0.01,,,0.0,Ground,C2,Flat,,Lightning,,N,,,W,22.0,Clear,HAC1H,,,,,,,,,,8/2/1996 8:45,0.01,8/2/1996 8:45,0.01,,,8/2/1996 11:20,0.01,0.01,A,N,?,Y,Y,POINT (619303.2780761922 6124394.763652872),Lac La Biche Forest Area,Lac La Biche,20.6,1996-08-01,324762,CL,1996-08-01,,21.0,9.1,46.47,0.2,0.0,0.0,0.2,11.0,27.0,135,80.7,13.5,183.4,2.1,22.9,3.7,0.28,55.21,-113.2
154,342,W07011,1996,6/2/1996 12:13,1996-06-02 12:19:00,LKT,LC,LG,S,,55.8663,-115.7597,6/2/1996 12:19,RAP,Project Status,6/2/1996 9:09,0.01,,,0.0,Surface,C2,Lower 1/3,,Lightning,,N,,,W,10.0,CB Wet,HAC1R,,,,,,,,,,6/2/1996 14:30,0.01,6/2/1996 14:40,0.01,,,6/2/1996 14:52,0.01,0.01,A,,?,N,Y,POINT (452475.269843878 6188982.631544602),Slave Lake Forest Area,Slave Lake,12.31666667,1996-06-02,648294,GT,1996-06-02,,21.0,6.8,39.73,0.0,0.0,0.0,0.0,14.0,,90,88.4,15.6,187.5,6.9,25.8,11.9,2.18,55.9,-115.76
159,814,N03010,1996,8/8/1996 18:41,1996-08-08 18:44:00,LKT,LC,LG,S,,54.1175,-117.303,8/8/1996 18:44,FPD Staff,60  minutes,8/8/1996 21:08,0.1,,,0.0,Ground,S1,Bottom,Will mark perimeter tonight and return tomorrow.,Lightning,,N,,,CLM,0.0,Cloudy,FPD Staff,,,,,,,,,,8/8/1996 21:10,0.1,8/8/1996 21:10,0.1,,,8/9/1996 11:00,0.1,0.1,A,Y,Y,Y,Y,POINT (349537.7332075855 5996645.892324083),Whitecourt Forest Area,Whitecourt,18.73333333,1996-08-08,130296,BE,1996-08-08,,23.0,7.3,36.39,0.0,0.0,0.0,0.0,14.0,,360,89.0,12.6,144.5,7.5,20.6,11.4,2.01,54.09,-117.4
163,782,W03061,1996,7/30/1996 19:10,1996-07-30 19:10:00,LKT,LC,LG,S,,59.2394,-119.5028,7/30/1996 19:10,Helitanker,3 minutes,7/30/1996 19:25,0.5,,,0.5,Surface,C2,Flat,,Lightning,,N,,,SE,11.0,Cloudy,Helitanker,,,,,,,,,,7/30/1996 19:35,0.5,7/30/1996 19:35,0.5,,,7/30/1996 20:13,0.05,0.05,A,Y,Y,Y,Y,POINT (243330.6941015419 6572755.636676257),High Level Forest Area,High Level,19.16666667,1996-07-30,22441,AM,1996-07-30,,25.0,15.1,54.16,0.0,0.0,0.0,0.0,11.0,27.0,315,89.2,29.5,416.2,6.7,50.1,16.5,3.9,59.18,-119.46
176,662,S02016,1996,7/9/1996 15:21,1996-07-09 15:23:00,LKT,LC,LG,S,,51.4163,-115.0728,7/9/1996 15:23,HAC,5  minutes,7/9/1996 15:40,0.1,,,1.0,Surface,C4,Middle 1/3,Air Tanker from YC & 1 pump from Ghost,Lightning,,N,,,S,10.0,Cloudy,HAC1H,,,,,,,,,,7/9/1996 16:44,0.1,7/9/1996 16:44,0.1,,,7/10/1996 10:40,0.1,0.1,A,Y,?,Y,Y,POINT (494939.5277973173 5693843.830774647),Calgary Forest Area,Calgary,15.38333333,1996-07-09,904408,MH,1996-07-09,,22.5,5.3,32.68,0.0,0.0,0.0,0.0,16.0,,45,90.4,36.9,143.5,10.2,44.9,21.3,6.12,51.42,-115.07
186,483,E01023,1996,6/15/1996 17:04,1996-06-15 17:05:00,LKT,LC,LG,N,,57.3438,-111.5857,6/15/1996 17:05,RAP,30  minutes,6/15/1996 17:36,0.01,,,0.1,Ground,C2,Flat,,Lightning,,N,,,N,9.0,Clear,HAC1R,,,,,,,,,,6/15/1996 17:30,0.01,6/15/1996 17:30,0.01,,,6/15/1996 19:40,0.01,0.01,A,Y,?,Y,Y,POINT (705362.0756833747 6358267.924705436),Fort McMurray Forest Area,Fort McMurray,17.08333333,1996-06-15,171788,BM,1996-06-15,,18.0,9.4,57.14,1.2,0.0,0.0,1.2,3.0,,135,77.0,38.4,209.0,1.0,52.6,3.0,0.19,57.37,-111.54
193,345,W03010,1996,6/2/1996 15:10,1996-06-02 15:10:00,AIR,,,,,58.1083,-118.1867,6/2/1996 15:10,RAP,3 minutes,6/2/1996 15:19,0.01,,,0.5,Surface,C2,Flat,,Lightning,,N,,,E,5.0,CB Wet,HAC1R,,,,,,,,,,6/2/1996 15:45,0.01,6/2/1996 16:00,0.01,,,6/2/1996 16:20,0.01,0.01,A,Y,?,Y,Y,POINT (312323.6284453945 6442623.376838486),High Level Forest Area,High Level,15.16666667,1996-06-02,116405,BC,1996-06-02,,19.0,7.5,47.11,0.0,0.0,0.0,0.0,4.0,,180,89.6,32.6,187.4,4.9,45.4,12.5,2.36,58.2,-118.22
194,494,S04005,1996,6/16/1996 15:35,1996-06-16 15:35:00,AIR,,,,,53.0667,-115.5214,6/16/1996 15:35,HAC,3 minutes,6/16/1996 15:45,0.1,,,0.1,Surface,D1,Flat,"Pump and foam. (enroute now, 10 min. away)",Lightning,,N,,,SE,15.0,Clear,HAC1H,,,,,,,,,,6/16/1996 15:45,0.1,6/16/1996 16:03,0.1,,,6/16/1996 17:03,0.1,0.1,A,Y,?,Y,Y,POINT (465076.7153059691 5877464.595924885),Rocky Mountain House Forest Area,Rocky Mountain House,15.58333333,1996-06-16,225869,BZ,1996-06-16,,16.0,4.6,46.66,20.2,0.0,0.0,20.2,17.0,,270,58.7,14.3,62.5,0.9,18.2,0.8,0.02,53.04,-115.44
198,18,E03001,1996,4/23/1996 14:20,1996-04-23 14:25:00,UNP,,,,,55.2626,-113.2006,4/23/1996 14:25,Man-up Crew,Project Status,4/23/1996 16:45,2.5,,,0.1,Surface,M1,Flat,,Resident,,N,,,SE,21.0,Clear,Man-up Crew,,,,,,,,,,4/23/1996 16:45,2.5,4/23/1996 18:31,2.5,4/23/1996 22:00,2.5,4/23/1996 22:01,2.5,2.5,B,,N,Y,Y,POINT (614299.6620611808 6123038.465649855),Lac La Biche Forest Area,Lac La Biche,14.41666667,1996-04-23,324662,CL,1996-04-23,,9.5,-1.0,47.85,0.0,0.0,0.0,0.0,21.0,36.0,315,82.2,7.2,219.2,4.2,13.4,5.4,0.54,55.21,-113.2
203,909,S01009,1996,8/30/1996 14:40,1996-08-30 14:45:00,GRP,,,,,49.6336,-114.3672,,,,8/30/1996 15:04,3.0,,,3.0,Crown,C3,Lower 1/3,"nil, ATG working fire at present",Other Industry,,N,,,W,10.0,Clear,Industry,,,,,,,,,,8/31/1996 13:00,4.2,8/31/1996 19:38,4.2,,,9/1/1996 16:30,4.2,4.2,C,,,N,N,POINT (545676.2191317136 5495886.117393996),Calgary Forest Area,Calgary,14.75,1996-08-30,192538,BQ,1996-08-30,,28.0,9.0,30.36,0.0,0.0,0.0,0.0,8.0,,135,92.4,129.0,449.9,9.0,150.3,34.3,14.2,49.61,-114.45
219,611,W05014,1996,6/28/1996 20:05,1996-06-28 20:08:00,LKT,S,LG,S,,56.9316,-113.4561,,,,6/29/1996 12:00,0.6,,,0.0,Surface,O1b,Flat,,Miscellaneous Known,,N,,,W,20.0,Cloudy,Land Owner,,,,,,,,,,6/29/1996 8:00,0.6,6/29/1996 8:00,0.6,,,6/29/1996 12:00,0.01,0.01,A,,,Y,Y,POINT (593918.4543369098 6308307.582630108),Slave Lake Forest Area,Slave Lake,20.13333333,1996-06-28,373744,CY,1996-06-28,,21.5,8.6,43.56,0.5,0.0,0.0,0.5,18.0,37.0,45,88.6,23.3,238.7,8.7,37.4,17.4,4.25,56.99,-113.42
230,641,W05015,1996,7/2/1996 14:31,1996-07-02 14:31:00,LKT,LC,LG,S,,56.9752,-113.3355,7/2/1996 14:31,RAP,5  minutes,7/2/1996 15:45,2.0,,,0.5,Crown,C2,Flat,,Lightning,,N,,,SW,10.0,Clear,HAC1R,,,,,,,,,,7/2/1996 17:42,2.0,7/2/1996 18:30,2.0,,,7/2/1996 21:45,2.0,2.0,B,N,?,Y,Y,POINT (601135.8335364613 6313330.285031469),Slave Lake Forest Area,Slave Lake,14.51666667,1996-07-02,373748,CY,1996-07-02,,18.0,4.9,41.97,0.7,0.0,0.0,0.7,18.0,,45,87.3,28.7,262.0,7.3,45.1,16.7,3.96,56.99,-113.42
236,834,S03014,1996,,1996-08-12 12:47:00,UNP,,,,,52.2403,-116.4511,8/12/1996 12:47,RAP,30  minutes,8/12/1996 13:37,0.05,,,0.5,Surface,C3,Lower 1/3,NIL,Lightning,,N,,,S,20.0,Clear,HAC1R,,,,,,,,,,8/12/1996 13:50,0.05,8/12/1996 14:00,0.05,,,8/12/1996 14:40,0.05,0.05,A,Y,?,Y,Y,POINT (400957.7679817048 5786441.219938667),Rocky Mountain House Forest Area,Rocky Mountain House,12.78333333,1996-08-12,298962,CE,1996-08-12,,14.0,-3.0,30.66,1.0,0.0,0.01,1.01,7.0,23.0,135,86.6,40.2,340.3,3.8,62.0,12.0,2.21,52.18,-116.41
242,851,S03015,1996,8/14/1996 17:03,1996-08-14 17:05:00,LKT,S,LG,N,,51.6492,-115.4176,8/14/1996 17:05,RAP,30  minutes,8/14/1996 17:30,0.1,,,0.1,Surface,C3,Upper 1/3,NIL,Lightning,,N,,,E,10.0,Clear,HAC1R,,,,,,,,,,8/14/1996 17:40,0.1,8/14/1996 17:50,0.1,,,8/14/1996 18:40,0.01,0.01,A,Y,?,Y,Y,POINT (471119.6059441002 5719815.221253468),Calgary Forest Area,Calgary,17.08333333,1996-08-14,70386,B3,1996-08-14,,25.6,6.0,27.0,0.0,0.0,0.0,0.0,14.0,21.0,315,92.6,47.7,310.2,12.6,68.9,30.6,11.61,51.65,-115.36
247,863,S03022,1996,8/14/1996 17:55,1996-08-14 18:12:00,LKT,LC,LG,S,,52.5957,-115.7758,8/14/1996 18:12,HAC,30  minutes,8/14/1996 21:11,0.1,,,0.0,Ground,C2,Middle 1/3,,Lightning,,N,,,S,5.0,Clear,HAC1H,,,,,,,,,,8/14/1996 19:35,0.1,8/14/1996 19:50,0.1,,,8/14/1996 22:35,0.1,0.1,A,N,?,Y,Y,POINT (447472.1864106565 5825247.675824675),Rocky Mountain House Forest Area,Rocky Mountain House,18.2,1996-08-14,47029,AU,1996-08-14,,24.0,7.6,34.97,0.0,0.0,0.0,0.0,14.0,,315,90.7,24.0,144.8,9.6,33.9,17.7,4.4,52.65,-115.72
248,862,S03021,1996,8/14/1996 18:55,1996-08-14 19:09:00,LKT,S,LG,N,,51.7657,-115.2995,8/14/1996 19:09,RAP,5  minutes,8/14/1996 21:10,0.1,,,0.1,Ground,C4,Upper 1/3,Nil,Lightning,,N,,,E,10.0,Cloudy,HAC1R,,,,,,,,,,8/14/1996 20:00,0.1,8/14/1996 20:15,0.1,,,8/14/1996 21:30,0.1,0.1,A,Y,?,Y,Y,POINT (479340.2854323433 5732726.72554876),Rocky Mountain House Forest Area,Rocky Mountain House,19.15,1996-08-14,146816,BH,1996-08-14,,21.5,3.7,31.05,0.0,0.0,0.0,0.0,6.0,,360,90.6,25.1,207.9,6.3,38.6,13.8,2.83,51.71,-115.22
253,872,W01011,1996,8/17/1996 15:37,1996-08-17 15:40:00,LKT,LC,LG,S,,54.5,-119.07,8/17/1996 15:40,HAC,Project Status,8/17/1996 17:00,0.01,,,0.0,Ground,C2,,,Lightning,,N,,,NW,8.0,Cloudy,HAC1H,,,,,,,,,,8/17/1996 18:00,0.01,8/17/1996 21:15,0.01,,,8/18/1996 16:00,0.01,0.01,A,,?,Y,Y,POINT (236598.1832770168 6044359.325649338),Grande Prairie Forest Area,Grande Prairie,15.66666667,1996-08-17,752096,KA,1996-08-17,,9.0,1.5,59.32,0.4,0.0,0.0,0.4,16.0,,45,71.3,8.9,214.0,1.5,16.2,1.6,0.06,54.42,-118.98
254,873,S03025,1996,8/17/1996 16:55,1996-08-17 17:00:00,LKT,LC,LG,S,,52.5993,-116.0451,8/17/1996 17:00,RAP,5  minutes,8/17/1996 17:26,0.02,,,0.1,Surface,C2,Middle 1/3,Nil,Lightning,,N,,,S,10.0,Rainshowers,HAC1R,,,,,,,,,,8/17/1996 17:35,0.02,8/17/1996 17:35,0.02,,,8/17/1996 19:40,0.02,0.02,A,N,?,Y,Y,POINT (429244.7009912857 5825878.116081156),Rocky Mountain House Forest Area,Rocky Mountain House,17.0,1996-08-17,218418,BY,1996-08-17,,9.0,1.5,59.32,0.01,0.0,0.0,0.01,15.0,,45,83.9,17.5,153.4,3.9,27.3,7.5,0.97,52.53,-116.13
261,960,N02022,1996,9/4/1996 9:00,1996-09-04 09:30:00,UNP,,,,,53.6373,-116.4668,9/4/1996 9:30,Forest Officer,60  minutes,9/4/1996 12:36,0.1,,,0.0,Surface,C2,Middle 1/3,,Lightning,,N,,,E,12.0,Rainshowers,Forest Officer,,,,,,,,,,9/4/1996 10:00,0.1,9/4/1996 10:30,0.1,,,9/4/1996 11:30,0.1,0.1,A,Y,Y,Y,Y,POINT (403060.0429058596 5941789.822487815),Edson Forest Area,Edson,9.5,1996-09-04,28005,AN,1996-09-04,,6.0,5.0,93.29,4.4,0.0,0.0,4.4,9.0,,270,38.9,18.9,281.2,0.0,32.4,0.1,0.0,53.55,-116.5
264,791,S02019,1996,7/31/1996 20:15,1996-07-31 20:25:00,UNP,S,LG,S,,51.1141,-114.9835,,,,7/31/1996 21:14,0.2,,,0.0,Surface,O1a,Bottom,nil,Miscellaneous Known,,N,,,W,10.0,Clear,Municipal District,,,,,,,,,,7/31/1996 21:14,0.2,7/31/1996 21:14,0.2,,,8/1/1996 8:40,0.2,0.2,B,,,Y,Y,POINT (501154.4942124502 5660247.581406222),Calgary Forest Area,Calgary,20.41666667,1996-07-31,183959,BP,1996-07-31,,16.0,4.6,46.66,0.0,0.0,0.0,0.0,10.0,,90,87.8,36.7,240.8,5.2,53.2,14.2,2.97,51.05,-115.08
272,361,E01010,1996,6/3/1996 13:10,1996-06-03 13:10:00,LKT,,,,,57.7768,-111.8168,6/3/1996 13:10,RAP,5  minutes,6/3/1996 13:20,0.02,,,1.0,Surface,C2,Flat,,Lightning,,N,,,NE,15.0,CB Wet,HAC1R,,,,,,,,,,6/3/1996 14:30,0.02,6/3/1996 15:50,0.02,,,6/3/1996 17:55,0.02,0.02,A,Y,?,Y,Y,POINT (689208.0338803264 6405746.691405061),Fort McMurray Forest Area,Fort McMurray,13.16666667,1996-06-03,154158,BI,1996-06-03,,20.5,7.3,42.28,0.61,0.0,0.0,0.61,18.0,36.0,90,86.1,25.5,136.9,6.1,34.8,12.7,2.46,57.69,-111.83
